id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
42192,PA-0009,small_airport,"La Plantación Airport",7.6628899574279785,-81.006103515625,21,NA,Panama,PA,"Veraguas Province",PA-9,9,"La Plantación",0,,,,,,,50,2008-09-27T10:50:33+00:00
316552,SIC,small_airport,"San José Island Airport",8.2622,-79.078,150,NA,Panama,PA,"Panamá Province",PA-8,8,"Las Perlas",0,,SIC,,,https://en.wikipedia.org/wiki/San_José_Airport_(Las_Perlas),,50,2021-08-06T04:46:55+00:00
5330,MP21,small_airport,"Alvaro Berroa Airport",8.770389556884766,-82.66439819335938,5000,NA,Panama,PA,"Chiriquí Province",PA-4,4,"Nueva California",0,MP21,,MP21,,,,50,2008-09-27T10:50:15+00:00
42197,MPOA,small_airport,"Puerto Obaldía Airport",8.668813,-77.417399,223,NA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,"Puerto Obaldía",0,MPOA,PUE,,,https://en.wikipedia.org/wiki/Puerto_Obaldia_Airport,,50,2024-05-18T13:10:17+00:00
4788,MPCH,medium_airport,"Changuinola Captain Manuel Niño International Airport",9.458962,-82.515062,19,NA,Panama,PA,"Bocas del Toro Province",PA-1,1,Changuinola,1,MPCH,CHX,,,https://en.wikipedia.org/wiki/Changuinola_%22Capit%C3%A1n_Manuel_Ni%C3%B1o%22_International_Airport,,750,2022-10-17T13:20:23+00:00
32164,MPLP,closed,"Captain Ramon Xatruch Airport",8.40667,-78.141701,30,NA,Panama,PA,"Darién Province",PA-5,5,"La Palma",0,,,,,,"MPLP, MPLP, PLP",450,2018-09-15T16:37:39+00:00
35197,PA-SAX,small_airport,"Sambú Airport",8.026279,-78.209555,32,NA,Panama,PA,"Darién Province",PA-5,5,"Boca de Sábalo",1,MPSB,SAX,,,https://en.wikipedia.org/wiki/Sambú_Airport,,150,2021-08-06T04:02:16+00:00
35194,PA-BFQ,small_airport,"Bahia Piña Airport",7.58737,-78.179939,14,NA,Panama,PA,"Darién Province",PA-5,5,"Puerto Piña",1,MPPI,BFQ,,,https://en.wikipedia.org/wiki/Bah%C3%ADa_Pi%C3%B1a_Airport,,150,2023-11-22T16:52:05+00:00
42194,PA-0011,small_airport,"Mulatupo Airport",8.945487,-77.733486,15,NA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,Mulatupo,1,,MPP,,,https://en.wikipedia.org/wiki/Mulatupo_Airport,,100,2022-11-30T16:21:26+00:00
346878,MPPD,small_airport,"Capt. J. Montenegro Airport",7.534801,-80.043347,148,NA,Panama,PA,"Los Santos Province",PA-7,7,Pedasí,1,MPPD,PDM,,,https://es.wikipedia.org/wiki/Aeropuerto_Capit%C3%A1n_Justiniano_Montenegro,,100,2024-05-20T17:55:23+00:00
308731,CZJ,small_airport,"Corazón de Jesús Airport",9.44686,-78.575678,8,NA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,Tupile,0,MPCJ,CZJ,,,https://en.wikipedia.org/wiki/Coraz%C3%B3n_de_Jes%C3%BAs_Airport,"Narganá, Usdup",100,2024-04-16T12:46:20+00:00
42196,PA-0013,small_airport,"Playón Chico Airport",9.30692,-78.235273,18,NA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,Ukupseni,1,MPPH,PYC,,,https://en.wikipedia.org/wiki/Play%C3%B3n_Chico_Airport,,100,2023-11-22T17:11:47+00:00
42183,PA-0002,small_airport,"Aguadulce Airport",8.251649856567383,-80.56539916992188,104,NA,Panama,PA,"Coclé Province",PA-2,2,Aguadulce,0,,,,,,,50,2008-09-27T10:50:24+00:00
42205,PA-0021,closed,"Ailigandí North Airport",9.23903,-78.03922,19,NA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,Ailigandí,0,,,,,,,50,2022-11-30T16:35:00+00:00
316551,PA-0025,small_airport,"Arenas Airport",7.3713,-80.846,85,NA,Panama,PA,"Veraguas Province",PA-9,9,Arenas,0,MPAR,,,,,,50,2023-11-22T16:14:05+00:00
5332,MP23,small_airport,"Capt. Alex H. Bosquez Airport",9.16628,-79.545205,394,NA,Panama,PA,"Panamá Province",PA-8,8,"Calzada Larga",0,MPCL,,,,https://en.wikipedia.org/wiki/Calzada_Larga_Airport,MP23,50,2021-08-07T05:54:59+00:00
42185,PA-0004,small_airport,"Carti Airport",9.31347,-79.101601,785,SA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,Carti,0,,CTE,,,https://en.wikipedia.org/wiki/Cart%C3%AD_Airport,,50,2024-06-07T17:57:20+00:00
346902,MPMC,small_airport,"Chame Mayor Airport",8.591418,-79.869189,79,NA,Panama,PA,"Panamá Oeste Province",PA-10,10,Chame,0,MPMC,,,,,,50,2021-08-07T08:09:24+00:00
5333,MP24,small_airport,"Captain Krish E. Persaud Airport",8.58846,-79.889702,141,NA,Panama,PA,"Panamá Oeste Province",PA-10,10,Chame,0,MPCM,,,,https://en.wikipedia.org/wiki/Chame_Airport,"Chame Airfield #1, MP24",50,2022-11-26T22:42:31+00:00
5326,MP17,small_airport,"Finca 67 Airport",9.434410095214844,-82.49909973144531,30,NA,Panama,PA,"Bocas del Toro Province",PA-1,1,Changuinola,0,MP17,,MP17,,,,50,2008-09-27T10:50:15+00:00
42202,PA-0018,small_airport,"Tubualá Airport",8.918601,-77.709182,20,NA,Panama,PA,"Guna Yala Indigenous Region",PS-GY,GY,Coetupo,0,,TUW,,,https://en.wikipedia.org/wiki/Tubual%C3%A1_Airport,,50,2024-04-07T16:19:18+00:00
5324,MP02,small_airport,"Finca 45 Airport",9.543330192565918,-82.73380279541016,56,NA,Panama,PA,"Bocas del Toro Province",PA-1,1,"Dos Caños",0,MP02,,MP02,,,,50,2008-09-27T10:50:15+00:00
515607,MPAG,small_airport,"El Aguila Airstrip",8.37168,-80.351676,75,NA,Panama,PA,"Coclé Province",PA-2,2,"El Aguila",0,MPAG,,,,,,50,2023-11-22T22:19:54+00:00
